OBJECTID,FAA_ID,ICAO_ID,DESIGNATOR,SURFACE,TWY_OPER,Shape__Area,Shape__Length
11032,FSM,KFSM,E,1,2,8.67914225072264e-08,0.00138344602009552
11033,FSM,KFSM,E,1,2,1.15964409547198e-07,0.0016062139612924
11034,FSM,KFSM,UNK,1,2,2.84427414953825e-07,0.00404056039439873
11035,FSM,KFSM,B,1,2,3.42744669978856e-07,0.00361766732135502
11036,GFL,KGFL,D,1,2,2.17083879761049e-07,0.00328910012298146
11037,GFL,KGFL,C,1,2,2.84237624000039e-07,0.00406146986678569
11038,GFL,KGFL,C_D_UNK,1,2,1.28395330775341e-07,0.00164877972008983
11039,GFL,KGFL,A_B,1,2,1.45533918342487e-07,0.00166055550441014
11040,GFL,KGFL,B,1,2,2.95690824714256e-07,0.0038626043681949
11041,GFL,KGFL,UNK,1,2,5.44504505775589e-07,0.00650566112009516
11042,GFL,KGFL,A_UNK,1,2,1.15339984840975e-07,0.00148412891540443
11043,GFL,KGFL,UNK,1,2,2.03747303667134e-07,0.00378937503436227
11044,GFL,KGFL,A,1,2,3.98049223804264e-07,0.00523064372266484
11045,GFL,KGFL,A,1,2,4.01659690396627e-07,0.00544201182655385
11046,GFL,KGFL,A,1,2,5.25507238994865e-08,0.000970394504371033
11047,GFL,KGFL,D_UNK,1,2,1.12002156312917e-07,0.00161303189720304
11048,AZO,KAZO,A_D,1,2,2.91043584734266e-07,0.00321781054612498
11049,AZO,KAZO,D,1,2,3.43675992553472e-07,0.00405978900055781
11050,AZO,KAZO,A,1,2,1.0569384300131e-07,0.00197137041079415
11051,AZO,KAZO,G,1,2,2.92077655873746e-07,0.00296518063246228
11052,AZO,KAZO,A_G,1,2,3.47084189781383e-07,0.00357643509278869
11053,AZO,KAZO,D,1,2,6.1678461189341e-08,0.00141919869899509
11054,SGS,KSGS,B,1,2,2.39468120279054e-07,0.00367110007974732
11055,GFL,KGFL,B,1,2,1.17645186037407e-07,0.00175991967365188
11056,GFL,KGFL,C,1,2,1.12251882455894e-07,0.00183555526181273
11057,GFL,KGFL,UNK,1,2,1.1747391750333e-08,0.000515651134620956
11058,GFL,KGFL,A,1,2,1.04116915488478e-07,0.00164543550137327
11059,GFL,KGFL,UNK,1,2,3.99297586210767e-08,0.000914467523348605
11060,AZO,KAZO,H,1,2,1.05088277981523e-07,0.00157346587052413
11061,AZO,KAZO,H,1,2,8.34823596041964e-08,0.00134876830566638
11062,AZO,KAZO,F1,1,2,5.58486013581272e-08,0.00125091454679961
11063,AZO,KAZO,F2,1,2,5.91365047417081e-08,0.00134980452705473
11064,AZO,KAZO,UNK,1,2,3.92017227568431e-08,0.00079274473315927
11065,AZO,KAZO,UNK,1,2,9.22370873013278e-08,0.00140692723122502
11066,AZO,KAZO,F,1,2,1.43859000237452e-08,0.000512948488175348
11067,CMH,KCMH,R3,1,2,2.33801756621688e-07,0.00219848050419794
11068,CMH,KCMH,C1_Y,1,2,4.24946695165573e-07,0.00262596558149097
11069,CMH,KCMH,Y,1,2,1.0966207185728e-07,0.00135609244989014
11070,CMH,KCMH,C,1,2,9.31153799448026e-08,0.00127046237291423
11071,CMH,KCMH,C,1,2,4.54733481092262e-07,0.00464453797369865
11072,CMH,KCMH,C2,1,2,2.66491676306074e-07,0.0027889088278395
11073,CMH,KCMH,C2_Y,1,2,4.43907000671762e-07,0.00264627625269499
11074,CMH,KCMH,C1,1,2,2.09734507289339e-07,0.00225077590673267
11075,CMH,KCMH,D3,1,2,1.42727913043927e-07,0.00154299654322977
11076,CMH,KCMH,R1,1,2,2.33104856306454e-07,0.00258271758390685
11077,CMH,KCMH,B2,1,2,8.53336357575785e-07,0.00836925615613322
11078,CMH,KCMH,C_C1,1,2,4.18018363843725e-07,0.00263714722777953
11079,CMH,KCMH,G4,1,2,2.52763128739952e-07,0.00222057521484634
11080,CMH,KCMH,B5,1,2,2.17488924713488e-07,0.00234456919743022
11081,AZO,KAZO,F_F1_UNK,1,2,1.03621224455119e-07,0.00147031332598287
11082,AZO,KAZO,F_F2_UNK,1,2,1.40813529163342e-07,0.00174889492104275
11083,AZO,KAZO,UNK,1,2,6.97832547302824e-08,0.00133528606625592
11084,AZO,KAZO,F,1,2,8.89147876017784e-08,0.00226403281964617
11085,AZO,KAZO,D,1,2,1.07940238197254e-07,0.00181421580692116
11086,AZO,KAZO,D_F_UNK,1,2,2.67017380567447e-07,0.00240496701223064
11087,AZO,KAZO,B,1,2,8.50847061487081e-08,0.00149821703119754
11088,AZO,KAZO,F,1,2,2.09675297360712e-07,0.00235702119124925
11089,AZO,KAZO,F,1,2,2.81577847427439e-07,0.00617946711586221
11090,AZO,KAZO,B_F,1,2,3.04047281482131e-07,0.00266749582110106
11091,AZO,KAZO,UNK,1,2,7.80653408583021e-08,0.00233100951780215
11092,CMH,KCMH,B_B4,1,2,3.98922338717966e-07,0.00340315594105017
